"Please select address","Please select address"
"Address","Address"
"Country","Country"
"Region / State","Region / State"
"Zip / Postal Code","Zip / Postal Code"
"City","City"
"Street Address","Street Address"
"Country attribute must be selected.","Country attribute must be selected."
"Attribute \"%s\" is not available in allowed attributes.","Attribute \"%s\" is not available in allowed attributes."
"Your location has been saved.","Your location has been saved."
"Customer Locator","Customer Locator"
"Options","Options"
"Allow to Modify","Allow to Modify"
"Use Default Shipping Address","Use Default Shipping Address"
"Use Coordinates Geolocation","Use Coordinates Geolocation"
"Use IP Geolocation","Use IP Geolocation"
"Allowed Attributes","Allowed Attributes"
"Required Attributes","Required Attributes"
"Default Address","Default Address"
"Your Location","Your Location"
"Select from address book","Select from address book"
"or enter","or enter"
"State / Province","State / Province"
"Please select region","Please select region"
"Apply","Apply"