"Klarna checkout is not available for %s, country was changed to %s.","Klarna är inte tillgänglig för %s, landet ändrades till %s."
"Checkout was reloaded.","Kassan laddades om"
"The Klarna Checkout is not enabled, please use an alternative checkout method.","Klarna Checkout är inte aktiverad, var god använd ett annat betalsätt."
"The Klarna Checkout is NOT available (no allowed country), please use an alternative checkout method.","Klarna Checkout är INTE tillgänglig (ej tillåtet land), var god använd den alternatva kassan.."
"The cart has no items (or has errors).","Varukorgen har inga varor (eller fel)"
"Subtotal must exceed minimum order amount.","Delsumman måste överstiga minsta ordervärde."
"Country is not set.","Land är inte inställt."
"Klarna Checkout is not available for country (%s).","Klarna Checkout är inte tillgänglig för detta land (%s)"
"Klarna Checkout requires the currency to be %s but is not available, please use an alternative checkout.","Klarna Checkout kräver att valutan ska vara %s och detta är inte tillgängligt, var god använd en annan kassa."
"Currency was changed to %s (cannot use %s for  %s).","Valuta ändrades till %s (kan inte använda %s för %s)"
"Invalid country (%s)","Felakrigt land (%s)"
"Checkout incomplete, missing reservation.","Kassan är inkomplett, saknar reservation"
"Checkout incomplete, no items.","Kassan är inkomplett, inga varor"
"Checkout incomplete, missing shipping_address.","Kassan är inkomplett, saknar leveransadress"
"Checkout incomplete, missing billing_address.","Kassan är inkomplett, saknar fakturaadress"
"Subscription for guests is not allowed.","Prenumeration för gäster är inte tillåtet"
"There already is a user subscribed with this email.","Det finns redan en prenumerant med denna e-post."
"Cannot cancel Klarna Reservation %s.","Kunde inte annullera Klarna reservation %s"
"Klarna reservation %s was CANCELED.","Klarna reservation %s annullerades."
"Klarna reservation %s cannot be detached. You have %s pending invoice(s).","Klarna reservation %s kunde inte annuleras. Du har %s fakturor som väntar på gransking."
"Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />","Klarna reservation %s was detached from the order.<br />All (Klarna) payment operations from now on (activating the order, invoicing etc.) have to be performed offline (on the Klarna Site).<br />"
"Authorize action is not available.","Auktorisera kommandot är inte tillgängligt."
"Klarna Reservation %s was CREATED.","Klarna Reservation %s skapades."
"The Klarna order cannot be activated: %s.","Klarna ordern kunde inte aktiveras: %s."
"Klarna Reservation %s was ACTIVATED; Risk: %s","Klarna Reservationen %s aktiverades; Risk %s."
"Refund action is not available.","Återbetalning är inte tillgängligt."
"Unknown transaction.","Okänd transaktion."
"The Klarna order cannot be refunded: %s.","Klarna order kunde inte återbetalas: %s."
"Klarna Invoice %s was refunded.","Klarna Faktura %s är återbetald."
"Void action is not available.","Avbryt kommandot är inte tillgängligt."
"The Klarna order cannot be canceled, %s.","Klarna order kunde inte avbrytas, %s."
"Country not allowed (%s).","Landet är inte tillåtet (%s)"
"Invalid payment, missing reservation.","Fel på betalning, saknar reservation."
"Country / Currency / Language not allowed %s/%s/%s","Land / valuta / språk är inte tillåtet %s/%s/%s"
"Currency not allowed (%s, expecting %s)","Valutan är inte tillåten (%s, förväntad %s)"
"Invalid country (%s, expecting %s)","Felaktigt land (%s, förväntad %s)"
"Invalid currency (%s, expecting %s)","Felaktig valuta (%s, förväntad %s)"
"Empty Cart","Tom varukorg"
"Cart has errors, cannot checkout","Varukorgen innehåller fel, går inte checka ut"
"Missing quote","Saknar köpinfo"
"Cannot apply coupon (%s)","Kan inte tillämpa kupongkod (%s)"
"Cannot initialize checkout (%s)","Kan inte initiera kassan (%s)"
"Cannot initialize the Klarna Checkout (%s)","Kan inte initiera Klarna Checkout (%s)"
"Please complete the checkout","Var god slutför beställningen."
"Cannot place the order (%s)","Kan inte slutföra beställning (%s)"
"Cannot update checkout (%s)","Kan inte uppdatera kassan (%s)"
"Cannot initialize Klarna Checkout (%s)","Kan inte initiera Klarna Checkout (%s)"
"The cart was updated (from another location), reloading the checkout, please wait...","Kassan uppdaterades (från en annan plats), uppdaterar kassan, var god och vänta..."
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","Det begärda ändringarna har inte tillämpats. Kassan uppdaterades (från annan sida), var god undersök varukorgen."
"Invalid shipping method (%s).","Ogiltigt transportsätt (%s)"
"Coupon code is not valid (or missing)","Kupongkoden ogiltig (eller saknad)"
"Coupon code ""%s"" was applied.","Kupongkoden ""%s"" las till"
"Coupon code ""%s"" is not valid.","Kupongkoden ""%s"" är ogiltig"
"Coupon code was canceled.","Kupongkoden upphävdes"
"Cannot remove the item.","Gick inte radera varan"
"Invalid item.","Ogiltig vara"
"Invalid country","Felaktigt land"
"Discount(s)","Rabatt(er)"
"Klarna Order ID:","Klarna Order ID:"
"Klarna Order ID: %s","Klarna Order ID: %s"
"Coupon","Kupong"
"Remove Coupon","Ta bort kupong"
"Code","Kod"
"Apply","Tillämpa"
"Coupon Code","Kupongkod"
"Sorry, no quotes are available for this order at this time.","Det finns inga förslag tillgänliga för närvarande."
"Incl. Tax","Inkl. moms"
"Remove This Item","Ta bort denna vara"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna vara från varukorgen?"
"Edit item","Redigera vara"
"See price before order confirmation.","Se priset innan orderbekräftelsen"
"Total incl. tax","Totalt inkl. moms"
"Details","Detaljer"
"Klarna Checkout","Klarna Checkout"
"Back to &raquo;&raquo;<br />Klarna Checkout","Tillbaka till &raquo;&raquo;<br />Klarna Checkout"
"Newsletter","Nyhetsbrev"
"Sign Up for Our Newsletter","Prenumerera på nyhetsbrev"
"Country","Land"
"not available with Klarna","inte tillgänglig med Klarna"
"Cart","Kassa"
"products","produkter"
"You have no items in your shopping cart.","Du har inga varor i din varukorg"
"An error occurred in klarna checkout process","Ett fel inträffade i Klarna Ceckouts process"
"Order #","Order #"
"Click <a href=""%s"">here</a> to retry.","Klicka <a href=""%s"">här</a> för att försöka igen."
"Click <a href=""%s"">here</a> to continue shopping.","Klicka <a href=""%s"">här</a> för att fortsätta handla."
"Shipping method","Fraktsätt"
"Retry","Försök igen"
"Terms of Use","Köpvilkor"
"I agree with","Jag håller med om"
"Shipping Fee (%s)","Fraktavgift (%s)"
"Correction / Other(s)","Korrigering / övrig"
"Discount (%s)","Rabatt (%s)"
"Quote was updated, please review it (check shipping amount, products)","Quote was updated, please review it (check shipping amount, products)"
"Please review the order and retry to place it, the previous order was CANCELED.","Please review the order and retry to place it, the previous order was CANCELED."
"The previous order will be CANCELED.","The previous order will be CANCELED."
"The previous order will be CANCELED.","The previous order will be CANCELED."
"Missing date of birth, please review your information (you need to be at least %s years old)","Födelsedag saknas, var god och gå igenom din information (du måste vara minst %s år gammal)"
"Invalid date of birth [%s], please review your information (you need to be at least %s years old)","Ogiltig födelsedag [%s], var god och gå igenom din information (du måste vara minst %s år gammal)"
"You need to be at least %s years old (your date of birth: [%s], age: [%s])","Du måste vara minst %s år gammal (ditt födelsedatum: [%s], ålder: [%s])"
"Expand All","Visa alla"
"Collapse All","Dölj alla"